user_id,age,gender,country,account_age_months,subscription_type,monthly_fee,payment_method,primary_device,devices_used,favorite_genre,avg_watch_time_minutes,watch_sessions_per_week,binge_watch_sessions,completion_rate,rating_given,content_interactions,recommendation_click_rate,days_since_last_login,churned
U100045,31,3,10,21,3,7.99,4,2,2,5,123,15,7,50,2.4,28,25,30,0
U100046,26,3,3,2,1,15.99,1,2,2,2,133,17,4,84,1.3,46,72,17,1
U100047,43,2,2,32,3,7.99,1,1,1,6,107,8,5,74,3.4,33,92,5,0
U100048,19,2,4,29,2,7.99,1,3,1,1,126,7,4,57,1.7,25,23,32,0
U100049,37,2,8,47,2,15.99,3,3,3,7,12,3,14,96,2.7,43,63,32,0
U100050,45,3,2,28,1,12.99,1,2,1,3,27,15,11,52,3.3,44,79,24,0
U100051,64,2,6,33,1,12.99,1,3,3,4,106,12,5,97,3.0,16,19,56,0
U100052,24,3,10,26,2,12.99,1,2,3,2,285,4,6,84,1.7,45,73,47,1
U100053,61,1,5,15,2,7.99,4,4,2,8,217,13,13,87,2.5,26,48,8,0
U100054,25,2,5,45,1,7.99,1,2,2,2,220,10,12,93,3.9,2,56,21,0
U100055,64,1,6,26,1,15.99,1,3,3,4,283,9,8,78,4.4,9,2,39,0
U100056,52,1,2,9,3,12.99,2,1,1,6,231,1,4,74,3.7,20,17,28,0
U100057,31,1,8,21,2,7.99,2,1,3,3,52,12,6,50,4.9,35,94,4,0
U100058,34,3,5,20,3,15.99,4,1,2,1,197,9,10,89,4.5,2,32,51,0
U100059,53,3,7,49,3,12.99,4,4,2,5,167,17,10,32,4.8,16,11,15,0
U100060,57,3,2,27,1,12.99,3,2,3,8,226,4,0,90,4.0,35,29,3,0
U100061,21,3,3,42,1,7.99,4,3,2,6,251,17,14,44,2.8,38,35,39,0
U100062,19,1,9,1,1,15.99,3,2,2,4,250,15,7,64,4.4,36,21,23,0
U100063,23,3,3,9,1,7.99,4,2,1,7,119,5,2,80,1.7,32,57,3,0
U100064,59,1,4,58,1,15.99,3,1,1,7,297,5,9,38,2.6,44,51,23,1
U100065,21,1,5,51,3,12.99,3,4,3,5,44,1,7,94,3.2,19,49,36,0
U100066,46,3,10,38,1,7.99,4,1,1,6,71,2,2,53,3.0,22,78,7,0
U100067,35,1,9,20,1,7.99,2,1,3,3,161,1,13,79,3.6,43,32,50,0
U100068,43,3,7,57,1,15.99,3,3,3,8,170,7,6,49,4.9,48,19,0,0
U100069,61,1,8,19,3,15.99,2,1,2,6,95,7,1,94,2.2,26,0,12,0
U100070,51,2,7,44,2,7.99,4,1,2,5,297,2,9,50,3.2,3,58,11,0
U100071,27,3,7,11,1,15.99,1,4,2,3,175,3,6,62,1.2,10,96,0,0
U100072,53,1,7,14,1,15.99,4,2,1,8,182,15,0,30,4.8,31,88,36,0
U100073,31,3,6,25,3,12.99,3,4,3,2,253,4,5,37,4.3,48,17,44,0
U100074,48,1,1,12,2,12.99,2,3,2,7,283,18,7,47,4.9,36,80,36,0
U100075,32,3,3,45,3,12.99,2,2,3,4,204,7,1,41,2.8,24,20,5,0
U100076,25,2,6,7,3,12.99,2,3,3,6,259,17,12,57,4.1,9,92,58,0
U100077,31,2,2,3,3,7.99,2,1,3,4,129,17,8,63,1.7,14,80,11,0
U100078,40,3,7,39,2,12.99,4,3,1,1,55,19,3,76,2.1,21,40,53,0
U100079,57,3,3,16,3,12.99,3,3,2,3,235,9,1,87,2.4,5,33,52,0
U100080,38,1,5,1,1,7.99,4,1,1,6,251,3,10,44,2.1,16,78,5,0
U100081,33,1,1,15,1,7.99,4,2,2,2,49,10,5,41,2.1,38,78,21,0
U100082,62,3,4,44,2,15.99,2,3,3,5,165,14,14,90,4.9,10,84,50,0
U100083,35,2,7,11,3,12.99,1,1,2,1,75,5,13,78,3.6,0,46,49,0
U100084,64,2,6,1,2,7.99,3,2,3,4,168,2,14,89,1.1,13,15,1,0
U100085,41,3,1,3,1,12.99,2,2,1,5,266,8,13,58,4.3,44,32,26,0
U100086,43,1,8,22,2,15.99,2,1,1,4,56,15,8,79,2.9,11,0,12,0
U100087,42,3,3,43,1,7.99,1,3,3,3,176,13,2,91,4.0,36,71,5,0
U100088,62,3,6,6,3,15.99,2,4,1,6,188,1,1,73,3.8,13,24,48,0
U100089,58,2,3,22,2,15.99,1,4,3,7,120,9,7,79,2.4,17,39,46,0
U100090,46,2,5,45,1,12.99,3,2,2,2,10,5,13,48,1.2,35,90,2,0
U100091,32,1,6,50,3,7.99,3,3,2,1,15,17,8,45,4.8,9,60,49,1
U100092,62,1,9,28,1,15.99,2,1,3,3,297,1,14,55,4.1,20,3,45,0
U100093,18,3,5,14,1,7.99,2,3,1,2,13,17,1,60,1.3,11,65,0,0
U100094,42,3,1,46,2,12.99,3,4,3,7,242,10,12,42,2.3,47,14,19,0
U100095,24,3,3,32,3,12.99,1,1,1,8,185,1,3,86,1.2,19,39,1,0
U100096,26,3,9,58,2,12.99,1,2,1,7,129,8,1,55,2.3,14,46,36,0
U100097,41,2,2,29,1,15.99,4,4,1,1,214,8,8,96,2.7,40,99,51,0
U100098,18,1,4,5,2,7.99,2,4,1,1,254,3,11,32,4.6,6,46,41,0
U100099,61,1,5,44,2,15.99,3,3,2,6,10,5,8,63,3.3,32,75,13,0
U100100,25,1,3,35,3,15.99,1,3,1,3,154,18,7,44,2.8,23,28,3,0
U100101,41,1,3,11,2,15.99,2,3,1,3,47,7,13,66,3.2,16,12,22,1
U100102,28,2,7,1,2,15.99,4,1,1,5,250,11,6,83,4.3,46,65,53,0
U100103,34,3,2,48,3,7.99,2,3,3,4,58,4,0,65,4.1,6,92,59,0
U100104,25,1,5,7,1,12.99,1,2,3,3,215,15,6,82,4.8,13,38,49,1
U100105,52,1,9,3,1,7.99,3,4,1,5,248,15,14,95,4.5,2,78,2,0
U100106,52,3,5,22,1,12.99,1,4,1,5,114,6,5,52,4.2,17,81,49,1
U100107,50,2,10,31,1,7.99,3,4,3,1,96,8,12,44,2.8,12,8,22,0
U100108,22,2,2,3,1,7.99,1,1,2,1,212,17,7,86,2.4,39,39,16,0
U100109,59,1,1,17,1,15.99,2,4,3,7,283,9,1,92,2.9,33,92,11,0
U100110,56,1,4,18,2,12.99,4,1,2,8,212,8,2,73,2.8,25,68,41,0
U100111,58,1,8,15,1,7.99,4,1,1,2,210,11,11,56,4.6,33,41,39,0
U100112,45,2,5,55,1,7.99,4,4,1,1,235,12,1,80,3.4,7,38,57,1
U100113,24,1,5,53,3,7.99,1,3,3,2,26,11,3,90,4.5,23,93,28,0
U100114,26,3,9,38,2,7.99,1,4,1,2,36,2,10,62,2.9,38,57,6,0
U100115,25,2,9,35,2,15.99,3,2,3,3,60,18,9,33,3.4,1,40,20,0
U100116,29,2,5,16,3,15.99,1,1,2,8,235,2,12,79,3.0,12,46,29,0
U100117,51,3,1,41,2,15.99,3,1,1,8,105,4,3,51,3.1,20,75,30,0
U100118,50,3,10,30,1,12.99,1,1,2,7,131,17,4,91,2.1,9,37,15,1
U100119,40,2,5,35,2,12.99,4,1,3,8,184,17,3,51,1.0,20,77,16,0
U100120,41,1,3,52,2,7.99,4,4,2,4,61,11,4,57,2.1,27,22,1,0
U100121,54,2,7,17,1,15.99,2,4,2,6,184,2,3,64,2.5,40,40,28,0
U100122,52,1,4,15,1,12.99,3,4,3,3,45,16,5,84,1.8,44,5,10,1
U100123,61,3,9,42,3,12.99,3,1,1,1,77,8,0,47,2.7,9,11,10,0
U100124,57,1,10,50,3,12.99,2,2,1,2,118,8,12,65,4.7,30,50,14,0
U100125,39,3,7,27,2,7.99,1,2,3,4,281,3,10,75,1.8,48,4,15,1
U100126,44,1,6,1,2,15.99,4,2,1,6,236,12,4,62,4.7,40,51,32,0
U100127,52,1,9,30,2,15.99,2,4,1,5,175,5,2,97,5.0,8,35,11,1
U100128,18,3,7,30,3,12.99,4,3,3,3,93,2,4,83,2.9,7,31,15,0
U100129,52,1,8,5,3,7.99,4,4,1,6,240,5,8,35,4.4,44,59,44,0
U100130,54,2,1,1,3,7.99,1,4,3,6,134,10,14,51,2.1,25,75,37,1
U100131,64,1,7,4,2,15.99,2,1,2,7,182,16,6,76,2.4,33,52,34,0
U100132,31,2,7,11,3,7.99,4,4,2,5,208,7,9,71,4.3,4,82,20,0
U100133,20,3,2,58,3,7.99,4,1,2,7,241,3,14,62,1.5,6,78,48,0
U100134,18,1,4,13,3,7.99,1,3,3,6,173,12,9,78,3.8,41,47,56,0
U100135,22,1,5,10,2,12.99,4,3,1,8,12,6,10,30,1.1,11,11,19,0
U100136,43,2,5,44,3,7.99,2,1,1,7,206,13,10,57,4.1,48,83,28,1
U100137,31,2,5,53,1,15.99,2,4,3,6,24,11,12,77,3.9,21,25,39,0
U100138,56,3,4,24,1,15.99,3,3,3,4,185,3,13,32,2.3,34,46,48,0
U100139,44,2,5,20,2,7.99,3,1,3,6,271,6,4,51,3.7,26,94,16,1
U100140,26,2,8,18,3,15.99,3,1,1,7,13,14,2,55,4.9,40,53,26,0
U100141,32,2,9,23,1,15.99,2,4,3,3,42,11,2,64,3.0,27,4,15,1
U100142,32,1,2,41,3,7.99,1,3,1,7,118,19,9,71,1.8,17,47,24,0
U100143,43,1,2,42,1,7.99,4,4,1,8,76,13,2,42,3.6,39,86,16,0
U100144,59,1,2,43,1,12.99,2,3,1,7,189,1,13,88,4.5,22,36,33,0
U100145,30,1,1,35,1,7.99,1,4,2,7,46,1,5,46,1.8,31,9,5,0
U100146,49,1,3,44,1,12.99,1,3,1,6,172,3,8,89,1.7,34,72,28,0
U100147,56,2,5,27,1,15.99,4,2,2,3,213,13,14,76,2.8,15,57,42,0
U100148,49,2,4,15,1,12.99,3,2,3,7,235,2,0,73,2.6,38,96,8,0
U100149,21,1,9,24,2,15.99,4,4,3,6,221,11,14,37,3.6,29,3,0,0
U100150,47,1,4,30,1,7.99,2,2,3,1,142,17,0,85,3.4,24,37,46,0
U100151,54,3,1,1,3,7.99,3,2,1,3,122,3,6,96,3.3,37,60,57,0
U100152,40,3,5,41,2,7.99,2,1,2,5,241,15,3,39,1.0,21,19,11,0
U100153,56,2,7,3,1,12.99,4,2,2,4,280,11,10,46,2.2,36,25,5,0
U100154,62,3,8,39,1,15.99,1,2,2,7,249,9,10,55,1.7,43,10,38,0
U100155,32,2,10,24,1,15.99,4,3,1,6,252,9,7,54,4.6,0,75,5,0
U100156,60,3,10,32,1,7.99,2,1,3,3,118,5,6,60,2.3,1,23,26,0
U100157,46,1,3,4,2,7.99,4,2,1,3,252,13,0,30,3.4,48,23,47,0
U100158,53,1,9,34,3,15.99,2,3,3,6,270,13,8,79,3.6,4,21,54,0
U100159,30,2,9,1,1,15.99,3,4,2,4,67,8,9,30,3.3,41,81,34,1
U100160,49,2,1,21,2,15.99,4,1,1,2,66,19,8,44,3.2,9,10,53,0
U100161,24,2,3,8,1,7.99,3,1,2,2,204,13,1,81,1.0,32,82,48,1
U100162,39,2,4,46,2,12.99,3,1,3,1,212,4,3,87,3.5,3,66,52,0
U100163,45,3,1,12,3,15.99,2,3,3,6,198,17,5,51,1.8,46,17,56,0
U100164,19,1,9,1,1,12.99,4,2,1,6,69,18,0,71,3.8,1,89,27,0
U100165,59,3,9,22,1,7.99,4,3,1,7,203,16,2,91,4.7,29,36,18,0
U100166,62,1,9,14,3,12.99,1,4,1,7,271,8,1,35,3.0,2,48,44,0
U100167,23,1,4,25,1,12.99,4,1,1,7,220,9,0,54,4.2,19,39,14,0
U100168,45,3,10,28,3,15.99,4,4,2,4,223,19,14,49,3.7,22,71,3,1
U100169,45,2,4,8,2,7.99,1,2,1,7,132,19,7,83,4.6,7,54,10,0
U100170,61,3,6,40,2,15.99,3,2,2,8,236,4,5,50,4.4,15,50,21,0
U100171,61,3,2,37,1,15.99,2,3,3,3,10,5,7,77,4.7,36,15,59,0
U100172,37,3,7,25,3,15.99,2,3,2,2,124,10,8,98,2.5,49,80,7,0
U100173,47,1,2,55,3,15.99,4,2,1,3,41,11,14,74,3.5,42,98,6,0
U100174,28,2,4,23,2,15.99,2,4,2,1,189,5,9,61,4.6,42,89,15,1
U100175,45,1,9,44,3,15.99,2,3,1,5,294,11,11,77,4.8,29,35,21,0
U100176,42,3,1,37,1,12.99,3,4,3,6,60,14,4,63,1.4,49,28,31,0
U100177,56,3,10,41,1,15.99,2,2,2,8,265,7,12,55,3.8,44,1,2,0
U100178,50,1,1,16,3,7.99,1,3,1,5,160,6,7,49,4.7,4,50,34,0
U100179,18,1,4,59,1,15.99,2,1,3,8,169,15,0,34,1.7,7,64,12,1
U100180,44,2,9,4,1,15.99,4,3,1,5,269,6,8,95,3.3,38,84,51,1
U100181,30,3,3,38,3,15.99,1,1,1,8,162,9,11,46,1.6,6,65,56,0
U100182,58,1,6,36,3,12.99,3,1,1,5,69,17,1,62,2.7,18,40,55,0
U100183,20,1,7,33,3,7.99,1,3,2,7,37,7,13,36,4.9,13,31,45,0
U100184,56,1,7,45,3,12.99,4,4,3,5,82,11,5,63,4.5,41,23,30,0
U100185,23,1,6,45,1,12.99,1,2,1,2,236,13,11,53,1.6,26,65,30,0
U100186,25,3,1,49,3,7.99,3,4,3,2,138,15,13,39,1.8,14,52,7,1
U100187,44,2,7,30,3,12.99,3,2,1,7,114,4,3,49,4.1,41,53,5,0
U100188,26,1,3,45,2,7.99,1,3,1,7,275,17,12,77,2.7,9,70,34,0
U100189,54,1,10,57,1,7.99,2,4,1,2,111,5,4,71,2.2,20,66,33,0
U100190,50,2,7,11,1,7.99,4,4,3,8,174,12,8,33,2.6,43,8,53,1
U100191,59,3,6,50,2,15.99,1,3,1,5,105,11,7,35,1.0,24,16,3,0
U100192,61,1,5,47,3,7.99,3,2,1,6,248,8,8,58,2.0,6,20,34,0
U100193,41,2,7,13,2,15.99,4,3,3,3,65,19,7,49,1.8,16,75,5,0
U100194,32,2,4,55,2,15.99,2,1,3,2,183,10,13,40,3.7,9,78,6,0
U100195,49,3,3,44,1,15.99,4,1,2,6,28,18,4,88,5.0,48,29,5,0
U100196,49,2,7,4,3,7.99,3,2,2,1,156,18,13,35,3.3,46,14,37,0
U100197,41,3,1,24,2,12.99,3,3,1,8,85,11,10,58,5.0,47,0,34,0
U100198,58,2,6,33,2,15.99,2,2,1,2,290,16,13,98,3.9,43,97,6,0
U100199,29,1,6,33,1,7.99,4,2,1,1,279,9,13,44,2.7,3,4,14,0
U100200,56,3,1,12,3,12.99,3,3,2,5,278,8,4,56,3.1,14,78,38,0
U100201,19,2,8,21,3,7.99,1,4,1,5,12,3,13,98,4.5,34,60,30,0
U100202,20,1,4,33,2,15.99,2,1,3,5,252,11,2,61,4.5,48,25,58,0
U100203,54,2,5,46,1,15.99,1,4,2,5,176,12,1,93,3.6,37,69,45,0
U100204,34,1,7,33,3,7.99,4,4,3,6,31,7,3,91,3.8,41,30,42,0
U100205,19,3,7,9,2,7.99,2,3,2,1,246,19,0,98,1.3,27,84,9,0
U100206,19,1,3,31,1,7.99,1,3,3,1,295,16,8,48,2.0,4,64,41,1
U100207,45,2,8,58,1,7.99,3,3,1,3,213,11,0,85,4.1,23,9,51,0
U100208,40,1,6,30,3,12.99,4,3,3,3,66,10,0,61,4.6,33,7,47,0
U100209,54,1,1,16,2,7.99,4,1,3,3,70,12,0,42,2.0,16,85,57,0
U100210,49,3,9,12,1,15.99,4,3,1,3,41,7,8,82,3.2,6,26,50,0
U100211,50,1,10,54,3,7.99,3,1,1,1,276,14,0,91,4.2,19,96,40,1
U100212,18,1,5,48,1,7.99,2,3,1,2,67,3,13,42,2.8,44,92,37,0
U100213,36,2,9,9,3,12.99,1,1,1,7,166,2,14,83,1.5,16,2,7,0
U100214,19,2,2,35,3,15.99,1,2,3,1,242,14,8,57,2.6,48,78,53,0
U100215,61,3,8,53,1,15.99,2,1,2,3,263,4,7,53,1.1,6,29,50,1
U100216,43,3,10,43,2,15.99,1,3,2,6,95,10,5,75,2.7,36,85,55,0
U100217,49,3,5,6,1,15.99,2,1,1,4,159,6,5,68,3.3,23,24,49,0
U100218,23,2,9,25,1,12.99,3,1,2,4,231,9,3,55,2.2,16,13,28,0
U100219,49,1,5,56,2,7.99,3,4,1,5,259,11,9,53,4.6,22,79,54,0
U100220,21,3,7,28,2,12.99,1,4,2,3,100,7,12,85,1.5,47,90,33,1
U100221,28,2,8,23,1,7.99,4,2,1,4,65,6,14,59,2.3,44,1,31,0
U100222,34,2,3,29,3,12.99,3,4,1,3,128,1,13,95,4.5,8,26,46,0
U100223,55,3,5,22,1,7.99,1,2,2,2,76,5,8,85,3.2,38,94,57,0
U100224,41,2,5,58,2,7.99,2,4,2,5,123,16,4,51,1.4,14,55,20,0
U100225,22,1,1,58,3,15.99,4,3,3,8,149,4,10,49,2.4,8,65,37,0
U100226,51,2,8,24,3,7.99,2,4,2,5,27,7,13,51,1.4,13,11,12,0
U100227,23,2,1,20,2,15.99,3,3,2,2,206,14,9,38,1.7,20,64,52,1
U100228,39,1,10,27,1,15.99,1,4,3,8,73,11,6,70,4.5,1,74,7,0
U100229,28,3,9,39,2,15.99,3,1,2,7,44,10,6,33,3.7,28,54,26,0
U100230,33,2,1,33,3,12.99,1,3,2,1,262,11,5,88,3.4,37,4,10,0
U100231,50,1,8,19,2,12.99,2,2,2,4,240,15,6,48,2.2,32,47,39,0
U100232,26,3,1,26,3,7.99,2,3,3,7,128,9,12,35,1.8,12,49,1,0
U100233,23,1,6,38,2,7.99,1,4,2,3,148,8,7,58,2.4,6,18,54,1
U100234,33,2,2,3,2,15.99,1,2,2,4,208,9,0,63,1.3,18,18,38,0
U100235,46,1,7,23,2,7.99,1,1,1,6,21,15,5,33,3.8,39,70,38,0
U100236,20,3,4,45,3,12.99,2,4,1,6,235,3,4,47,4.9,2,75,45,0
U100237,37,3,5,59,3,7.99,3,4,1,4,119,13,4,55,2.5,29,74,41,0
U100238,53,3,1,27,1,12.99,1,1,3,8,275,4,5,52,3.1,46,51,16,1
U100239,36,1,8,27,3,15.99,2,3,2,1,18,19,6,47,2.3,22,45,15,0
U100240,43,1,1,10,2,12.99,3,4,1,7,91,16,4,70,3.9,5,62,22,1
U100241,20,3,5,24,1,15.99,2,4,1,1,44,10,7,55,3.7,46,39,59,1
U100242,36,3,2,56,3,15.99,1,1,2,2,49,7,13,36,2.9,26,70,46,1
U100243,37,3,7,49,2,15.99,2,1,1,6,38,6,9,44,1.2,49,35,51,0
U100244,49,2,9,52,1,12.99,2,4,3,5,147,6,2,98,4.7,35,45,35,0
U100245,24,2,4,37,2,7.99,4,2,2,4,276,18,10,56,3.0,43,26,15,1
U100246,58,2,7,41,2,12.99,2,4,2,8,153,1,9,37,1.2,33,60,30,1
U100247,50,3,8,2,1,15.99,3,2,2,8,234,3,11,91,2.5,28,56,15,0
U100248,57,2,3,34,3,7.99,3,3,3,7,167,7,1,60,2.1,27,5,37,0
U100249,56,3,8,22,2,15.99,2,3,1,5,234,11,1,30,1.6,4,82,54,0
U100250,35,1,7,49,1,15.99,3,4,1,2,30,6,14,63,3.2,1,3,5,1
U100251,57,3,7,50,3,7.99,2,4,2,3,100,17,0,92,4.5,46,34,7,0
U100252,18,3,3,2,2,7.99,2,1,1,4,134,3,0,84,2.5,48,50,19,0
U100253,28,2,1,28,2,7.99,1,1,2,6,169,18,6,55,4.5,43,93,13,0
U100254,45,1,9,41,1,7.99,3,4,2,8,198,18,3,33,3.6,27,39,21,1
U100255,42,1,8,40,1,12.99,2,3,1,5,298,15,14,44,1.8,0,15,49,0
U100256,40,1,6,42,2,12.99,3,4,1,7,38,1,7,65,2.8,39,31,49,0
U100257,48,2,6,24,1,15.99,1,3,1,5,67,18,10,62,4.3,15,20,27,0
U100258,47,2,6,38,2,12.99,1,3,3,4,97,8,12,31,1.7,34,27,20,0
U100259,59,2,6,40,1,12.99,1,3,1,2,288,1,10,62,2.5,0,7,8,0
U100260,52,2,5,22,3,12.99,2,1,3,2,246,12,6,75,1.4,31,91,24,0
U100261,24,2,4,3,3,7.99,1,2,1,3,233,4,14,44,2.2,14,10,36,0
U100262,33,3,10,58,1,15.99,4,2,3,6,103,7,7,63,4.8,7,55,57,0
U100263,43,1,9,42,1,7.99,4,4,2,4,254,3,5,42,1.8,35,18,34,0
U100264,19,2,5,37,3,15.99,4,2,2,4,167,5,11,44,3.3,22,54,37,1
U100265,18,1,7,2,3,12.99,2,1,2,1,257,15,7,49,3.2,26,68,41,0
U100266,29,2,9,57,1,7.99,4,1,1,8,14,16,6,80,1.4,11,34,28,0
U100267,22,3,10,23,1,7.99,4,3,3,8,137,7,9,98,4.4,15,63,28,0
U100268,54,1,7,13,1,15.99,2,4,1,2,23,7,5,74,3.1,2,66,41,0
U100269,49,2,9,15,1,7.99,3,2,2,4,76,18,11,87,2.9,34,27,35,0
U100270,26,3,10,33,1,12.99,3,1,1,5,287,12,6,34,4.3,12,3,53,0
U100271,58,3,2,45,2,12.99,2,3,1,6,221,3,1,79,3.6,9,93,21,0
U100272,52,1,2,53,1,15.99,1,2,3,2,11,6,14,69,3.1,23,65,8,0
U100273,36,2,10,13,1,7.99,1,4,1,5,162,4,1,71,3.7,20,62,7,0
U100274,33,3,5,20,1,7.99,4,1,1,4,115,12,7,59,3.3,24,71,13,0
U100275,20,3,6,7,3,7.99,1,1,3,1,84,11,9,72,4.7,47,8,46,1
U100276,37,3,3,56,3,7.99,1,1,3,2,276,10,6,39,2.5,43,3,26,0
U100277,41,1,4,13,2,12.99,2,1,3,1,66,13,6,84,3.9,46,28,21,1
U100278,50,1,9,39,1,12.99,1,3,1,3,98,1,13,92,1.9,28,96,49,0
U100279,41,2,1,4,1,12.99,3,4,1,5,74,11,4,37,3.9,35,58,36,0
U100280,28,2,9,46,2,7.99,2,2,2,5,217,9,0,91,4.5,49,26,37,0
U100281,25,1,1,27,3,12.99,2,2,3,7,173,8,9,66,4.6,30,15,45,0
U100282,53,1,8,32,3,7.99,3,2,2,4,182,15,4,96,2.8,11,17,40,0
U100283,55,1,2,2,2,7.99,1,2,1,5,13,4,4,80,3.2,28,65,14,0
U100284,57,3,7,15,2,12.99,4,4,2,6,246,10,7,98,2.7,22,92,33,1
U100285,37,1,2,5,3,12.99,4,3,1,5,79,1,10,87,1.3,41,73,19,0
U100286,52,2,9,3,3,7.99,2,4,3,6,291,11,14,86,4.3,35,70,9,0
U100287,42,3,3,16,2,15.99,4,2,3,5,254,14,8,77,1.1,7,28,29,1
U100288,52,1,5,49,1,7.99,1,1,3,8,161,15,9,53,3.9,23,41,14,0
U100289,42,2,9,26,1,12.99,1,1,3,6,271,14,6,59,4.4,10,45,21,0
U100290,46,1,4,6,3,12.99,3,4,3,5,215,14,12,60,4.7,21,93,18,0
U100291,35,2,4,35,2,12.99,2,4,2,5,159,13,9,60,2.4,49,1,41,0
U100292,63,3,10,38,3,15.99,1,2,1,1,149,15,5,62,1.1,26,99,45,0
U100293,35,3,9,20,2,7.99,1,3,1,6,286,2,12,97,2.3,34,14,55,1
U100294,19,2,10,22,1,12.99,1,1,2,5,221,16,12,64,3.8,14,56,7,0
U100295,52,2,2,21,1,7.99,4,4,2,1,293,18,9,60,1.1,30,27,29,0
U100296,33,3,8,32,3,12.99,1,3,1,2,188,19,1,94,1.3,39,36,3,0
U100297,58,3,1,1,2,15.99,1,4,3,8,212,7,12,35,3.0,24,32,12,1
U100298,53,2,4,48,2,15.99,4,2,2,2,146,18,9,84,2.1,9,88,29,0
